name,url,rss_url,description,deleted,last_updated_by,last_updated_at,created_by,created_at,source_id
"Giáo dục","https://vietnamnet.vn/giao-duc","https://vietnamnet.vn/rss/giao-duc.rss","Giáo dục Vietnamnet",false,admin,1732944000000,admin,1732944000000,3
"Thể thao","https://vietnamnet.vn/the-thao","https://vietnamnet.vn/rss/the-thao.rss","Thể thao Vietnamnet",false,admin,1732944000000,admin,1732944000000,3

"Thời sự","https://laodong.vn/thoi-su.htm","https://laodong.vn/rss/thoi-su.rss","Thời sự Lao Động",false,admin,1732944000000,admin,1732944000000,4
"Công đoàn","https://laodong.vn/cong-doan.htm","https://laodong.vn/rss/cong-doan.rss","Công đoàn",false,admin,1732944000000,admin,1732944000000,4
"Kinh tế","https://laodong.vn/kinh-te.htm","https://laodong.vn/rss/kinh-te.rss","Kinh tế",false,admin,1732944000000,admin,1732944000000,4
"Pháp luật","https://laodong.vn/phap-luat.htm","https://laodong.vn/rss/phap-luat.rss","Pháp luật",false,admin,1732944000000,admin,1732944000000,4
"Giáo dục","https://laodong.vn/giao-duc.htm","https://laodong.vn/rss/giao-duc.rss","Giáo dục",false,admin,1732944000000,admin,1732944000000,4
"Giải trí","https://laodong.vn/giai-tri.htm","https://laodong.vn/rss/giai-tri.rss","Giải trí",false,admin,1732944000000,admin,1732944000000,4

"Thời sự","https://nguoiduatin.vn/thoi-su.htm","https://nguoiduatin.vn/rss/thoi-su.rss","Thời sự Người Đưa Tin",false,admin,1732944000000,admin,1732944000000,5
"Pháp luật","https://nguoiduatin.vn/phap-luat.htm","https://nguoiduatin.vn/rss/phap-luat.rss","Pháp luật",false,admin,1732944000000,admin,1732944000000,5
"Kinh doanh","https://nguoiduatin.vn/kinh-doanh.htm","https://nguoiduatin.vn/rss/kinh-doanh.rss","Kinh doanh",false,admin,1732944000000,admin,1732944000000,5
"Giải trí","https://nguoiduatin.vn/giai-tri.htm","https://nguoiduatin.vn/rss/giai-tri.rss","Giải trí",false,admin,1732944000000,admin,1732944000000,5

"Thời sự","https://tuoitre.vn/thoi-su.htm","https://tuoitre.vn/rss/thoi-su.rss","Thời sự Tuổi Trẻ",false,admin,1732944000000,admin,1732944000000,6
"Thế giới","https://tuoitre.vn/the-gioi.htm","https://tuoitre.vn/rss/the-gioi.rss","Thế giới Tuổi Trẻ",false,admin,1732944000000,admin,1732944000000,6
"Kinh doanh","https://tuoitre.vn/kinh-doanh.htm","https://tuoitre.vn/rss/kinh-doanh.rss","Kinh doanh Tuổi Trẻ",false,admin,1732944000000,admin,1732944000000,6
"Giải trí","https://tuoitre.vn/giai-tri.htm","https://tuoitre.vn/rss/giai-tri.rss","Giải trí Tuổi Trẻ",false,admin,1732944000000,admin,1732944000000,6
"Sức khỏe","https://tuoitre.vn/suc-khoe.htm","https://tuoitre.vn/rss/suc-khoe.rss","Sức khỏe Tuổi Trẻ",false,admin,1732944000000,admin,1732944000000,6
"Giáo dục","https://tuoitre.vn/giao-duc.htm","https://tuoitre.vn/rss/giao-duc.rss","Giáo dục Tuổi Trẻ",false,admin,1732944000000,admin,1732944000000,6

"Thời sự","https://thanhnien.vn/thoi-su.htm","https://thanhnien.vn/rss/thoi-su.rss","Thời sự Thanh Niên",false,admin,1732944000000,admin,1732944000000,7
"Thế giới","https://thanhnien.vn/the-gioi.htm","https://thanhnien.vn/rss/the-gioi.rss","Thế giới Thanh Niên",false,admin,1732944000000,admin,1732944000000,7
"Giải trí","https://thanhnien.vn/giai-tri.htm","https://thanhnien.vn/rss/giai-tri.rss","Giải trí Thanh Niên",false,admin,1732944000000,admin,1732944000000,7
"Giáo dục","https://thanhnien.vn/giao-duc.htm","https://thanhnien.vn/rss/giao-duc.rss","Giáo dục Thanh Niên",false,admin,1732944000000,admin,1732944000000,7
"Công nghệ","https://thanhnien.vn/cong-nghe.htm","https://thanhnien.vn/rss/cong-nghe.rss","Công nghệ Thanh Niên",false,admin,1732944000000,admin,1732944000000,7

"Chính trị","https://nhandan.vn/chinhtri","https://nhandan.vn/rss/chinhtri","Chính trị Nhân Dân",false,admin,1732944000000,admin,1732944000000,8
"Kinh tế","https://nhandan.vn/kinhte","https://nhandan.vn/rss/kinhte","Kinh tế Nhân Dân",false,admin,1732944000000,admin,1732944000000,8
"Thế giới","https://nhandan.vn/thegioi","https://nhandan.vn/rss/thegioi","Thế giới Nhân Dân",false,admin,1732944000000,admin,1732944000000,8
"Văn hóa","https://nhandan.vn/vanhoa","https://nhandan.vn/rss/vanhoa","Văn hóa Nhân Dân",false,admin,1732944000000,admin,1732944000000,8
"Thể thao","https://nhandan.vn/thethao","https://nhandan.vn/rss/thethao","Thể thao Nhân Dân",false,admin,1732944000000,admin,1732944000000,8

"Đời sống","https://kenh14.vn/doi-song.chn","","Đời sống Kenh14",false,admin,1732944000000,admin,1732944000000,9
"Star","https://kenh14.vn/star.chn","","Star - Kenh14",false,admin,1732944000000,admin,1732944000000,9
"Xã hội","https://kenh14.vn/xa-hoi.chn","","Xã hội Kenh14",false,admin,1732944000000,admin,1732944000000,9
"Thể thao","https://kenh14.vn/the-thao.chn","","Thể thao Kenh14",false,admin,1732944000000,admin,1732944000000,9
"Ciné","https://kenh14.vn/cine.chn","","Ciné Kenh14",false,admin,1732944000000,admin,1732944000000,9

"Thời sự","https://tienphong.vn/thoi-su.htm","https://tienphong.vn/rss/thoi-su.rss","Thời sự Tiền Phong",false,admin,1732944000000,admin,1732944000000,10
"Pháp luật","https://tienphong.vn/phap-luat.htm","https://tienphong.vn/rss/phap-luat.rss","Pháp luật Tiền Phong",false,admin,1732944000000,admin,1732944000000,10
"Kinh tế","https://tienphong.vn/kinh-te.htm","https://tienphong.vn/rss/kinh-te.rss","Kinh tế Tiền Phong",false,admin,1732944000000,admin,1732944000000,10
"Giáo dục","https://tienphong.vn/giao-duc.htm","https://tienphong.vn/rss/giao-duc.rss","Giáo dục Tiền Phong",false,admin,1732944000000,admin,1732944000000,10
"Giải trí","https://tienphong.vn/giai-tri.htm","https://tienphong.vn/rss/giai-tri.rss","Giải trí Tiền Phong",false,admin,1732944000000,admin,1732944000000,10
